table_id,description,csv_file,xlsx_file
Table S43,B/T/Mac neighborhood network edge enrichments,TableS43_B_T_Mac_neighborhood_network_edge_enrichments.csv,TableS43_B_T_Mac_neighborhood_network_edge_enrichments.xlsx
Table S44,B/T/Mac neighborhood network node fractions,TableS44_B_T_Mac_neighborhood_network_node_fractions.csv,TableS44_B_T_Mac_neighborhood_network_node_fractions.xlsx
Table S45,Spatial interaction indices across niches,TableS45_Spatial_interaction_indices_across_niches.csv,TableS45_Spatial_interaction_indices_across_niches.xlsx
Table S46,Bulk mechanism anchoring gene coverage and correlations in GSE31312,TableS46_Bulk_mechanism_anchoring_gene_coverage_and_correlations_in_GSE31312.csv,TableS46_Bulk_mechanism_anchoring_gene_coverage_and_correlations_in_GSE31312.xlsx
Table S47,Integrated bulk support scores for spatially nominated mechanism axes,TableS47_Integrated_bulk_support_scores_for_spatially_nominated_mechanism_axes.csv,TableS47_Integrated_bulk_support_scores_for_spatially_nominated_mechanism_axes.xlsx
Table S48,Representative FOV selection for spatial pathology-style visualization,TableS48_Representative_FOV_selection_for_spatial_pathology-style_visualization.csv,TableS48_Representative_FOV_selection_for_spatial_pathology-style_visualization.xlsx
Table S49,Intermediate bridge-like mixed tile summary,TableS49_Intermediate_bridge-like_mixed_tile_summary.csv,TableS49_Intermediate_bridge-like_mixed_tile_summary.xlsx
S50,MCP-counter scores for GSE31312 samples,csv/TableS50_MCPcounter_scores_GSE31312.csv,xlsx_individual/TableS50_MCPcounter_scores_GSE31312.xlsx
S51,MCP-counter correlations with spatially derived continuum scores,csv/TableS51_MCPcounter_correlations_with_continuum_scores.csv,xlsx_individual/TableS51_MCPcounter_correlations_with_continuum_scores.xlsx
S52,F1_6 downsampling centroid summary,csv/TableS52_F1_6_downsampling_centroid_summary.csv,xlsx_individual/TableS52_F1_6_downsampling_centroid_summary.xlsx
S53,F1_6 downsampling 1000-iteration centroid table,csv/TableS53_F1_6_downsampling_centroids_1000_iterations.csv,xlsx_individual/TableS53_F1_6_downsampling_centroids_1000_iterations.xlsx
S54,Block-level spatial composition summary,csv/TableS54_block_level_spatial_composition_summary.csv,xlsx_individual/TableS54_block_level_spatial_composition_summary.xlsx
S55,Block-level niche counts,csv/TableS55_block_level_niche_counts.csv,xlsx_individual/TableS55_block_level_niche_counts.xlsx
S56,Spatially constrained candidate ligand-receptor gene coverage,csv/TableS56_spatially_constrained_LR_gene_coverage.csv,xlsx_individual/TableS56_spatially_constrained_LR_gene_coverage.xlsx
S57,Spatially constrained candidate ligand-receptor FOV-level results,csv/TableS57_spatially_constrained_LR_FOV_level_results.csv,xlsx_individual/TableS57_spatially_constrained_LR_FOV_level_results.xlsx
S58,Spatially constrained candidate ligand-receptor summary by niche,csv/TableS58_spatially_constrained_LR_summary_by_niche.csv,xlsx_individual/TableS58_spatially_constrained_LR_summary_by_niche.xlsx
S59,Spatially constrained candidate ligand-receptor Kruskal-Wallis tests,csv/TableS59_spatially_constrained_LR_kruskal_tests.csv,xlsx_individual/TableS59_spatially_constrained_LR_kruskal_tests.xlsx
